Graph Name, Num_nodes, Num_edges, DegreeOrderDesc, DegreeOrderAsc, Random, ClusteringCoeffDesc,ClusteringCoeffAsc, ClosenessCentralityDesc, ClosenessCentralityAsc, PageRankDesc, PageRankAsc , Colors
arc130.mtx,130,1282,15,15,15,15,15,15,16,15,16,15
mesh3em5.mtx,289,1089,6,5,6,6,6,4,6,6,6,3
poisson2D.mtx,367,2417,5,6,6,6,6,5,6,6,6,4
oscil_dcop_39.mtx,430,1544,4,5,4,4,4,4,5,4,4,3
Erdos971.mtx,472,1314,9,13,10,11,9,11,11,10,10,7
west0381.mtx,381,2157,6,9,8,7,9,8,7,6,8,5
oscil_dcop_34.mtx,430,1544,4,5,5,4,4,4,5,4,4,3
spaceStation_3.mtx,467,2681,9,9,10,9,9,8,9,7,7,7
cage_G_45.mtx,366,2562,2,2,5,2,2,2,2,2,2,2
lshp_265.mtx,265,1009,6,6,6,6,6,5,6,6,6,4
can_229.mtx,229,1003,6,7,7,7,7,7,6,6,6,4
oscil_dcop_21.mtx,430,1544,4,5,4,4,4,4,5,4,4,3
mcca.mtx,180,2659,34,39,35,35,34,35,34,35,34,34
cage_G_08.mtx,58,87,3,3,3,3,3,3,3,3,3,3
oscil_dcop_15.mtx,430,1544,4,5,4,4,4,4,5,4,4,3
olm500.mtx,500,1996,4,4,5,4,4,4,4,4,4,3
hor_131.mtx,434,4710,16,18,16,16,16,16,16,16,16,16
fs_183_4.mtx,183,1069,7,10,9,8,7,8,10,9,7,7
GD06_theory.mtx,101,190,2,2,2,2,2,2,2,2,2,2
str_200.mtx,363,3068,6,8,8,6,7,8,7,7,7,4
tumorAntiAngiogenesis_3.mtx,410,2099,5,6,6,6,6,4,5,5,4,4
plskz362.mtx,362,880,3,5,6,5,4,4,5,5,3,3
bcsstk04.mtx,132,1890,13,18,16,17,14,15,18,16,16,12
tumorAntiAngiogenesis_7.mtx,475,2441,5,6,7,6,6,4,5,5,4,4
hangGlider_1.mtx,360,1838,6,6,8,8,7,6,6,6,6,6
mesh2e1.mtx,306,1162,6,6,6,7,6,6,6,6,6,4
oscil_dcop_24.mtx,430,1544,4,5,4,4,4,4,5,4,4,3
dwt_198.mtx,198,795,6,8,7,7,7,5,8,7,5,4
ex1.mtx,216,4352,10,14,14,14,10,13,11,13,14,10
Harvard500.mtx,500,2636,21,21,21,21,21,21,21,21,21,21
dwt_361.mtx,361,1657,7,7,7,7,7,5,5,7,6,4
ck104.mtx,104,992,8,10,9,10,9,8,10,9,9,6
dwt_310.mtx,310,1379,7,7,7,7,7,7,6,7,6,4
oscil_dcop_47.mtx,430,1544,4,5,4,4,4,4,5,4,4,3
oscil_dcop_38.mtx,430,1544,4,5,5,4,4,4,5,4,4,3
oscil_dcop_49.mtx,430,1544,4,5,4,4,4,4,5,4,4,3
rajat14.mtx,180,1503,7,8,7,8,7,8,7,8,7,6
Chebyshev1.mtx,261,2319,9,8,9,9,8,9,8,9,9,7
cage_G_39.mtx,94,376,6,7,7,6,7,6,6,6,7,4
oscil_dcop_13.mtx,430,1544,4,5,4,4,4,4,5,4,4,3
bfwb398.mtx,398,1654,5,8,6,8,5,6,7,8,5,3
bcsstm20.mtx,485,485,1,1,1,1,1,1,1,1,1,1
cage_G_20.mtx,58,87,3,3,3,3,3,3,3,3,3,3
oscil_dcop_10.mtx,430,1544,4,5,4,4,4,4,5,4,4,3
cage_G_25.mtx,70,105,3,3,3,3,3,3,3,3,3,2
celegansneural.mtx,297,2345,9,15,12,14,11,14,11,14,12,8
GD96_d.mtx,180,229,2,4,4,4,3,2,4,4,3,2
olm100.mtx,100,396,4,4,5,4,4,4,4,4,4,3
tumorAntiAngiogenesis_2.mtx,305,1441,5,5,6,6,6,4,5,5,4,4
tumorAntiAngiogenesis_8.mtx,490,2535,5,6,6,6,6,4,5,5,4,4
oscil_dcop_12.mtx,430,1544,4,5,4,4,4,4,5,4,4,3
lnsp_131.mtx,131,536,6,7,6,6,6,7,7,6,7,5
cage_G_14.mtx,58,87,3,3,3,3,3,3,3,3,3,3
rdb200.mtx,200,1120,5,4,5,4,4,2,4,4,3,2
mhdb416.mtx,416,1364,6,8,7,8,6,6,8,7,7,6
bfwa398.mtx,398,3678,6,10,8,9,7,8,8,9,6,5
rdb200l.mtx,200,1120,5,4,5,4,4,2,4,4,3,2
tumorAntiAngiogenesis_4.mtx,455,2433,5,6,7,6,6,4,5,5,4,4
impcol_a.mtx,207,572,5,6,5,6,6,6,6,6,6,4
lns_131.mtx,131,536,5,7,7,6,6,7,7,7,6,5
oscil_dcop_52.mtx,430,1544,4,5,5,4,4,4,5,4,4,3
oscil_dcop_33.mtx,430,1544,4,5,4,4,4,4,5,4,4,3
oscil_dcop_26.mtx,430,1544,4,5,4,4,4,4,5,4,4,3
cage_G_11.mtx,58,87,3,3,3,3,3,3,3,3,3,3
oscil_dcop_03.mtx,430,1544,4,5,4,4,4,4,5,4,4,3
oscil_dcop_16.mtx,430,1544,4,5,4,4,4,4,5,4,4,3
oscil_dcop_11.mtx,430,1544,4,5,4,4,4,4,5,4,4,3
cage_G_24.mtx,70,105,3,3,3,3,3,3,3,3,3,2
cage7.mtx,340,3084,7,8,8,9,7,7,8,8,8,5
bwm200.mtx,200,796,4,3,4,4,4,2,4,4,4,2
cage_G_12.mtx,58,87,3,3,3,3,3,3,3,3,3,3
cage_G_37.mtx,62,186,3,2,5,3,2,3,2,3,2,2
dwt_492.mtx,492,1824,5,6,6,7,6,6,7,7,6,4
rajat11.mtx,135,812,6,7,7,6,6,6,7,7,6,6
grid1_dual.mtx,224,420,4,4,4,4,3,3,4,4,3,2
cage_G_31.mtx,19,38,4,4,4,4,4,4,4,4,4,3
GD97_c.mtx,452,460,2,4,4,4,3,3,4,4,3,2
cage_G_28.mtx,272,408,3,3,3,3,3,3,3,3,3,3
impcol_d.mtx,425,1339,5,7,6,6,7,7,6,6,6,4
Trefethen_300.mtx,300,2489,7,10,9,8,8,8,10,8,6,3
USAir97.mtx,332,2126,24,28,26,28,25,26,27,26,26,22
cage_G_03.mtx,24,36,3,3,3,3,3,3,3,3,3,3
qc324.mtx,324,13527,81,81,81,81,81,81,81,81,81,81
tumorAntiAngiogenesis_1.mtx,205,953,5,5,6,6,6,4,5,5,4,4
cz148.mtx,148,1527,10,12,11,10,10,10,11,11,11,8
oscil_dcop_18.mtx,430,1544,4,5,4,4,4,4,5,4,4,3
ash292.mtx,292,1250,6,8,7,7,7,7,7,7,7,6
celegans_metabolic.mtx,453,2040,10,15,12,14,10,11,12,13,13,9
rdb450l.mtx,450,2580,5,5,5,4,4,2,4,5,4,2
GD01_a.mtx,311,645,7,8,7,6,6,8,8,7,6,6
oscil_dcop_42.mtx,430,1544,4,5,4,4,4,4,5,4,4,3
can_445.mtx,445,2127,7,7,8,8,7,7,7,7,7,5
cage_G_35.mtx,30,75,4,5,5,4,5,4,5,4,5,3
Erdos981.mtx,485,1381,9,13,10,12,9,11,11,12,11,7
Trefethen_500.mtx,500,4489,10,8,10,10,7,8,8,9,4,3
Trefethen_200b.mtx,199,1536,7,8,9,9,8,7,9,8,7,3
cavity02.mtx,317,7327,19,26,21,20,22,21,25,23,19,19
cage_G_19.mtx,58,87,3,3,3,3,3,3,3,3,3,3
cage_G_16.mtx,58,87,3,3,3,3,3,3,3,3,3,3
oscil_dcop_50.mtx,430,1544,4,5,4,4,4,4,5,4,4,3
cage_G_36.mtx,42,105,4,2,4,4,2,4,2,4,2,2
bcsstk20.mtx,485,1810,9,8,8,9,9,6,7,9,8,6
odepb400.mtx,400,399,1,1,1,1,1,1,1,1,1,1
fs_183_3.mtx,183,1069,7,10,9,8,7,8,10,9,7,7
oscil_dcop_40.mtx,430,1544,4,5,4,4,4,4,5,4,4,3
pde225.mtx,225,1065,5,4,4,4,4,2,2,4,4,2
oscil_dcop_19.mtx,430,1544,4,5,4,4,4,4,5,4,4,3
bcsstk06.mtx,420,4140,13,20,16,18,13,14,15,16,15,12
oscil_dcop_32.mtx,430,1544,4,5,4,4,4,4,5,4,4,3
oscil_dcop_08.mtx,430,1544,4,5,4,4,4,4,5,4,4,3
oscil_dcop_20.mtx,430,1544,4,5,4,4,4,4,5,4,4,3
cavity04.mtx,317,7327,19,26,21,20,22,21,25,23,19,19
oscil_dcop_41.mtx,430,1544,4,5,4,4,4,4,5,4,4,3
oscil_dcop_28.mtx,430,1544,4,5,4,4,4,4,5,4,4,3
cavity01.mtx,317,7327,19,26,21,20,22,23,25,23,19,19
fs_183_1.mtx,183,1069,7,10,8,8,7,8,10,9,7,7
robot.mtx,120,870,5,7,8,8,6,6,7,7,6,5
west0132.mtx,132,414,5,7,7,6,6,6,7,6,6,4
nnc261.mtx,261,1500,2,4,4,4,3,3,4,4,3,2
can_187.mtx,187,839,6,8,7,7,7,8,6,7,6,4
impcol_e.mtx,225,1308,12,15,12,13,13,13,13,13,12,12
cage_G_06.mtx,58,87,3,3,3,3,3,3,3,3,3,3
cage_G_40.mtx,114,456,2,3,6,2,3,2,3,2,3,2
cage_G_15.mtx,58,87,3,3,3,3,3,3,3,3,3,3
cage_G_04.mtx,30,45,2,2,3,2,2,2,2,2,2,2
fs_183_6.mtx,183,1069,7,10,9,8,7,8,10,9,7,7
bcsstm03.mtx,112,112,1,1,1,1,1,1,1,1,1,1
bcsstm06.mtx,420,420,1,1,1,1,1,1,1,1,1,1
oscil_dcop_23.mtx,430,1544,4,5,4,4,4,4,5,4,4,3
orbitRaising_1.mtx,442,1573,5,6,6,5,6,4,5,5,4,4
cage_G_23.mtx,70,105,3,3,3,3,3,3,3,3,3,2
bcspwr03.mtx,118,297,4,5,4,5,4,5,4,4,5,4
oscil_dcop_45.mtx,430,1544,4,5,4,4,4,4,5,4,4,3
gre_216b.mtx,216,876,4,6,4,4,3,2,3,4,3,2
west0497.mtx,497,1727,6,8,7,6,7,6,7,7,5,4
cage_G_29.mtx,406,609,3,3,3,3,3,3,3,3,3,2
cage_G_22.mtx,58,87,3,3,3,3,3,3,3,3,3,3
problem1.mtx,415,2779,6,6,6,6,6,5,5,6,6,4
bcspwr04.mtx,274,943,8,9,8,8,8,7,8,8,8,7
dwt_209.mtx,209,976,6,7,7,8,7,8,7,8,7,5
bcsstk22.mtx,138,417,6,6,5,6,6,5,6,6,6,5
gre_185.mtx,185,1005,6,6,6,6,6,6,6,6,6,3
dwt_245.mtx,245,853,7,7,7,7,6,7,6,7,6,5
nos1.mtx,237,627,3,3,3,3,3,2,2,3,3,2
adjnoun.mtx,112,425,6,8,8,8,7,6,8,9,7,5
gre_343.mtx,343,1435,5,6,6,5,5,2,2,5,5,2
Erdos991.mtx,492,1417,9,13,10,11,10,10,12,11,11,7
oscil_dcop_46.mtx,430,1544,4,5,4,4,4,4,5,4,4,3
oscil_dcop_44.mtx,430,1544,4,5,4,4,4,4,5,4,4,3
cage_G_07.mtx,58,87,3,3,3,3,3,3,3,3,3,3
dwt_307.mtx,307,1415,7,7,7,7,7,7,7,8,6,4
tumorAntiAngiogenesis_6.mtx,465,2537,5,6,7,6,6,4,5,5,4,4
mhda416.mtx,416,8562,15,17,17,16,15,13,15,18,15,13
cage_G_38.mtx,50,175,5,7,6,5,7,5,7,5,7,4
bcsstm07.mtx,420,3836,13,18,14,16,13,15,14,16,14,12
oscil_dcop_57.mtx,430,1544,4,5,5,4,4,4,5,4,4,3
cage_G_43.mtx,182,910,2,3,5,2,3,2,5,2,3,2
rw496.mtx,496,1859,7,6,6,6,6,5,5,7,5,4
cage_G_42.mtx,146,657,2,3,5,2,3,2,3,2,3,2
tub100.mtx,100,396,3,4,4,4,3,2,4,4,3,2
cage_G_01.mtx,10,15,3,3,3,3,3,3,3,3,3,3
lop163.mtx,163,935,4,4,5,5,4,2,2,5,4,2
cage_G_05.mtx,58,87,3,3,3,3,3,3,3,3,3,3
oscil_dcop_48.mtx,430,1544,4,5,4,4,4,4,5,4,4,3
oscil_dcop_36.mtx,430,1544,4,5,4,4,4,4,5,4,4,3
oscil_dcop_29.mtx,430,1544,4,5,4,4,4,4,5,4,4,3
impcol_c.mtx,137,411,5,6,6,6,6,6,6,5,5,4
494_bus.mtx,494,1080,4,5,4,4,4,4,5,4,4,3
west0167.mtx,167,507,5,7,6,6,6,6,6,5,5,4
cage_G_27.mtx,126,189,2,2,3,2,2,2,2,2,2,2
oscil_trans_01.mtx,430,1614,5,6,5,5,6,5,5,5,5,5
n3c6-b1.mtx,105,210,3,3,5,3,3,3,3,4,3,3
cage_G_33.mtx,76,152,4,4,4,4,4,4,4,4,4,3
football.mtx,115,613,9,9,9,10,9,9,9,9,9,9
bcsstm22.mtx,138,138,1,1,1,1,1,1,1,1,1,1
oscil_dcop_02.mtx,430,1544,4,5,4,4,4,4,5,4,4,3
oscil_dcop_09.mtx,430,1544,4,5,4,4,4,4,5,4,4,3
oscil_dcop_14.mtx,430,1544,4,5,4,4,4,4,5,4,4,3
pivtol.mtx,102,306,3,3,3,3,3,3,3,3,3,3
nos4.mtx,100,347,4,6,5,5,5,5,6,4,4,3
tumorAntiAngiogenesis_5.mtx,460,2483,5,6,6,6,6,4,5,5,4,4
oscil_dcop_01.mtx,430,1544,4,5,4,4,4,4,5,4,4,3
SmallW.mtx,396,994,8,11,10,11,8,10,11,10,10,8
can_144.mtx,144,720,6,8,8,7,6,6,7,7,7,6
dwt_419.mtx,419,1991,6,9,8,8,8,7,7,7,8,5
dwt_193.mtx,193,1843,11,15,13,16,11,13,14,14,12,8
dwt_162.mtx,162,672,6,8,6,8,6,6,6,7,6,4
saylr1.mtx,238,1128,4,4,4,4,4,2,4,4,4,2
oscil_dcop_04.mtx,430,1544,4,5,4,4,4,4,5,4,4,3
GD00_a.mtx,352,458,3,5,5,5,4,4,5,4,4,3
cage_G_17.mtx,58,87,3,3,3,3,3,3,3,3,3,3
lshp_406.mtx,406,1561,6,6,6,6,6,5,5,6,6,4
bcsstk07.mtx,420,4140,13,20,14,18,13,14,15,16,15,12
oscil_dcop_51.mtx,430,1544,4,5,4,4,4,4,5,4,4,3
GD98_c.mtx,112,168,3,3,3,3,3,3,3,3,3,3
str_600.mtx,363,3279,6,9,7,6,9,9,8,8,7,5
cage_G_30.mtx,620,930,3,3,3,3,3,3,3,3,3,3
oscil_dcop_25.mtx,430,1544,4,5,4,4,4,4,5,4,4,3
oscil_dcop_06.mtx,430,1544,4,5,4,4,4,4,5,4,4,3
utm300.mtx,300,3155,11,14,14,14,14,13,15,15,12,8
ck400.mtx,400,2860,10,9,9,9,10,8,8,9,10,6
cage_G_02.mtx,14,21,2,2,3,2,2,2,2,2,2,2
oscil_dcop_31.mtx,430,1544,4,5,4,4,4,4,5,4,4,3
dwt_234.mtx,234,534,3,4,4,3,3,3,4,3,3,3
rw136.mtx,136,479,5,6,6,6,6,5,6,6,5,4
steam1.mtx,240,3762,9,8,11,12,12,6,6,9,6,6
grid1.mtx,252,476,3,4,4,3,2,4,3,3,2,2
oscil_dcop_54.mtx,430,1544,4,5,4,4,4,4,5,4,4,3
rdb450.mtx,450,2580,5,5,5,4,4,2,4,5,4,2
oscil_dcop_55.mtx,430,1544,4,5,4,4,4,4,5,4,4,3
oscil_dcop_05.mtx,430,1544,4,5,4,4,4,4,5,4,4,3
bcsstm05.mtx,153,153,1,1,1,1,1,1,1,1,1,1
gre_216a.mtx,216,876,4,6,5,4,3,2,3,4,3,2
cage_G_13.mtx,58,87,3,3,3,3,3,3,3,3,3,3
Trefethen_150.mtx,150,1095,8,8,9,8,7,8,8,8,4,3
str_0.mtx,363,2454,5,6,6,5,6,6,7,6,6,4
cage_G_18.mtx,58,87,3,3,3,3,3,3,3,3,3,3
mesh2em5.mtx,306,1162,6,6,6,7,6,6,6,6,6,4
cage.mtx,366,2562,2,2,9,2,2,2,2,2,2,2
cz308.mtx,308,3182,10,12,10,10,11,10,12,10,9,8
bcsstk03.mtx,112,376,5,5,5,5,5,4,5,5,4,4
bcsstk05.mtx,153,1288,12,11,10,10,11,11,11,11,10,9
str_400.mtx,363,3157,6,8,7,7,6,7,7,7,7,4
plat362.mtx,362,3074,11,12,12,12,11,11,12,14,13,7
oscil_dcop_07.mtx,430,1544,4,5,4,4,4,4,5,4,4,3
gre_115.mtx,115,421,2,4,5,4,4,2,3,4,4,2
odepa400.mtx,400,1201,3,4,4,3,3,3,3,3,3,3
polbooks.mtx,105,441,6,10,9,9,8,10,8,8,8,6
mbeause.mtx,496,41063,73,90,82,89,75,80,79,84,84,NA
can_268.mtx,268,1675,8,11,10,10,8,10,10,9,8,NA
rbsa480.mtx,480,17088,17,27,21,21,21,19,25,21,18,NA
mbeacxc.mtx,496,49920,90,116,99,113,92,99,100,100,104,NA
CAG_mat364.mtx,364,13585,56,64,56,62,56,56,57,57,57,NA
mbeaflw.mtx,496,49920,90,116,102,113,92,99,100,100,104,NA
rbsb480.mtx,480,17088,17,28,22,20,20,19,25,22,17,NA
tomography.mtx,500,28726,36,44,41,42,40,42,39,40,42,NA
mycielskian8.mtx,191,2360,8,9,8,8,8,8,8,8,8,NA
mycielskian9.mtx,383,7271,9,12,10,9,9,9,9,9,9,NA
cage_G_41.mtx,118,531,6,7,7,6,7,6,6,6,7,NA
Journals.mtx,124,6096,66,76,71,74,66,66,76,71,71,NA
