Graph Name, Num_nodes, Num_edges, DegreeOrderDesc, DegreeOrderAsc, Degree2OrderDesc,  Degree2OrderAsc,  Degree3OrderDesc, Degree3OrderAsc,Random, ClusteringCoeffDesc,ClusteringCoeffAsc, ClosenessCentralityDesc, ClosenessCentralityAsc, PageRankDesc, PageRankDesc 
bwm200.mtx,200,796,4,4,3,4,4,3,4,4,4,2,4,4,4
cage.mtx,366,2562,2,2,2,2,2,2,8,2,2,2,2,2,2
cage7.mtx,340,3084,7,9,6,8,7,9,7,9,7,7,8,6,9
cage_G_01.mtx,10,15,3,3,3,3,3,3,3,3,3,3,3,3,3
cage_G_02.mtx,14,21,2,2,2,2,2,2,2,2,2,2,2,2,2
cage_G_03.mtx,24,36,3,3,3,3,3,3,3,3,3,3,3,3,3
cage_G_04.mtx,30,45,2,2,2,2,2,2,3,2,2,2,2,2,2
cage_G_05.mtx,58,87,3,3,3,3,3,3,3,3,3,3,3,3,3
cage_G_06.mtx,58,87,3,3,3,3,3,3,3,3,3,3,3,3,3
cage_G_07.mtx,58,87,3,3,3,3,3,3,3,3,3,3,3,3,3
cage_G_08.mtx,58,87,3,3,3,3,3,3,3,3,3,3,3,3,3
cage_G_09.mtx,58,87,3,3,3,3,3,3,3,3,3,3,3,3,3
cage_G_10.mtx,58,87,3,3,3,3,3,3,3,3,3,3,3,3,3
cage_G_11.mtx,58,87,3,3,3,3,3,3,3,3,3,3,3,3,3
cage_G_12.mtx,58,87,3,3,3,3,3,3,3,3,3,3,3,3,3
cage_G_13.mtx,58,87,3,3,3,3,3,3,3,3,3,3,3,3,3
cage_G_14.mtx,58,87,3,3,3,3,3,3,3,3,3,3,3,3,3
cage_G_15.mtx,58,87,3,3,3,3,3,3,3,3,3,3,3,3,3
cage_G_16.mtx,58,87,3,3,3,3,3,3,3,3,3,3,3,3,3
cage_G_17.mtx,58,87,3,3,3,3,3,3,3,3,3,3,3,3,3
cage_G_18.mtx,58,87,3,3,3,3,3,3,3,3,3,3,3,3,3
cage_G_19.mtx,58,87,3,3,3,3,3,3,3,3,3,3,3,3,3
cage_G_20.mtx,58,87,3,3,3,3,3,3,3,3,3,3,3,3,3
cage_G_21.mtx,58,87,3,3,3,3,3,3,3,3,3,3,3,3,3
cage_G_22.mtx,58,87,3,3,3,3,3,3,3,3,3,3,3,3,3
cage_G_23.mtx,70,105,3,3,3,3,3,3,3,3,3,3,3,3,3
cage_G_24.mtx,70,105,3,3,3,3,3,3,3,3,3,3,3,3,3
cage_G_25.mtx,70,105,3,3,3,3,3,3,3,3,3,3,3,3,3
cage_G_26.mtx,112,168,3,3,3,3,3,3,3,3,3,3,3,3,3
cage_G_27.mtx,126,189,2,2,2,2,2,2,3,2,2,2,2,2,2
cage_G_28.mtx,272,408,3,3,3,3,3,3,3,3,3,3,3,3,3
cage_G_29.mtx,406,609,3,3,3,3,3,3,3,3,3,3,3,3,3
cage_G_30.mtx,620,930,3,3,3,3,3,3,3,3,3,3,3,3,3
cage_G_31.mtx,19,38,4,4,4,4,4,4,4,4,4,4,4,4,4
cage_G_32.mtx,26,52,3,3,3,3,3,3,4,3,3,3,3,3,3
cage_G_33.mtx,76,152,4,4,4,4,4,4,4,4,4,4,4,4,4
cage_G_34.mtx,80,160,4,4,4,4,4,4,4,4,4,4,4,4,4
cage_G_35.mtx,30,75,4,4,4,4,4,4,5,4,4,4,4,4,4
cage_G_36.mtx,42,105,4,4,4,4,4,4,5,4,4,4,4,4,4
cage_G_37.mtx,62,186,3,3,3,3,3,3,4,3,3,3,3,3,3
cage_G_38.mtx,50,175,5,5,5,5,5,5,6,5,5,5,5,5,5
cage_G_39.mtx,94,376,6,6,6,6,6,6,6,6,6,6,6,6,6
cage_G_40.mtx,114,456,2,2,2,2,2,2,5,2,2,2,2,2,2
cage_G_41.mtx,118,531,6,6,6,6,6,6,6,6,6,6,6,6,6
cage_G_42.mtx,146,657,2,2,2,2,2,2,6,2,2,2,2,2,2
cage_G_43.mtx,182,910,2,2,2,2,2,2,5,2,2,2,2,2,2
cage_G_44.mtx,266,1596,2,2,2,2,2,2,7,2,2,2,2,2,2
cage_G_45.mtx,366,2562,2,2,2,2,2,2,8,2,2,2,2,2,2
CAG_mat364.mtx,364,13585,56,64,59,56,65,56,60,62,56,56,68,56,65
can_144.mtx,144,720,6,7,6,6,7,7,7,7,6,6,7,6,6
can_161.mtx,161,769,7,7,6,8,6,7,7,7,7,5,6,7,6
can_187.mtx,187,839,6,7,6,7,6,8,6,7,5,6,7,6,6
can_229.mtx,229,1003,6,7,5,7,5,6,7,7,7,5,5,6,6
can_256.mtx,256,1586,8,11,10,10,9,9,10,10,8,9,10,8,10
can_268.mtx,268,1675,8,10,8,10,9,9,9,10,9,8,10,8,10
can_292.mtx,292,1416,6,9,6,8,7,7,8,9,6,6,8,7,9
can_445.mtx,445,2127,7,7,7,7,8,8,8,8,7,7,8,6,7
cavity01.mtx,317,7327,19,28,19,27,21,27,20,20,20,19,27,24,21
cavity02.mtx,317,7327,19,28,19,27,21,27,20,20,20,19,27,24,21
cavity03.mtx,317,7327,19,28,19,27,21,27,21,20,20,19,27,24,21
cavity04.mtx,317,7327,19,28,19,27,21,27,20,20,20,19,27,24,21
celegansneural.mtx,297,2345,9,15,11,15,14,11,13,14,11,10,16,10,17
celegans_metabolic.mtx,453,2040,10,15,11,14,14,11,14,14,10,11,15,11,16
Chebyshev1.mtx,261,2319,9,9,9,9,9,9,9,9,9,9,9,9,9
ck104.mtx,104,992,8,10,10,9,10,8,9,10,8,6,8,8,8
ck400.mtx,400,2860,10,8,9,10,9,10,9,9,8,6,8,8,9
cz148.mtx,148,1527,10,11,9,11,12,10,11,10,10,11,12,9,12
cz308.mtx,308,3182,10,12,10,10,10,11,11,10,11,10,11,9,12
dwt_162.mtx,162,672,6,7,6,8,8,6,7,8,6,5,7,5,7
dwt_193.mtx,193,1843,11,16,11,15,14,12,13,16,11,11,16,12,15
dwt_198.mtx,198,795,6,8,5,9,7,8,7,7,6,7,8,9,8
dwt_209.mtx,209,976,6,8,6,7,7,8,8,8,7,7,8,7,8
dwt_221.mtx,221,925,6,7,6,7,7,6,7,7,6,6,7,7,7
dwt_234.mtx,234,534,3,4,3,4,3,4,4,3,3,3,4,4,4
dwt_245.mtx,245,853,7,8,7,7,7,7,7,7,7,7,7,7,8
dwt_307.mtx,307,1415,7,8,6,7,7,7,7,7,6,6,8,7,7
dwt_310.mtx,310,1379,7,8,7,7,6,6,7,7,7,6,6,6,8
dwt_346.mtx,346,1786,6,9,7,10,8,10,8,10,7,7,9,7,10
dwt_361.mtx,361,1657,7,7,7,7,7,7,7,7,7,4,6,6,6
dwt_419.mtx,419,1991,6,9,8,8,9,7,8,8,8,8,7,8,9
dwt_492.mtx,492,1824,5,7,6,7,6,7,6,7,6,5,7,6,8
Erdos971.mtx,472,1314,9,13,8,13,11,10,11,11,9,9,13,9,12
Erdos981.mtx,485,1381,9,13,9,14,11,10,11,12,10,9,14,9,12
Erdos991.mtx,492,1417,9,12,9,13,12,10,11,11,9,9,15,9,12
ex1.mtx,216,4352,10,14,12,15,15,14,13,14,10,11,15,10,14
ex2.mtx,441,13640,45,52,45,48,50,45,46,48,45,45,50,45,50
football.mtx,115,613,9,10,9,9,9,9,9,10,9,9,9,9,10
fs_183_1.mtx,183,1069,7,9,8,8,9,7,7,8,7,7,11,7,10
fs_183_3.mtx,183,1069,7,9,8,8,9,7,8,8,7,7,11,7,10
fs_183_4.mtx,183,1069,7,9,8,8,9,7,8,8,7,7,11,7,10
fs_183_6.mtx,183,1069,7,9,8,8,9,7,9,8,7,7,11,7,10
GD00_a.mtx,352,458,3,5,4,4,4,5,4,5,3,4,4,3,5
GD01_a.mtx,311,645,7,8,7,8,6,7,7,6,7,6,8,7,8
GD06_theory.mtx,101,190,2,2,2,2,2,2,2,2,2,2,2,2,2
GD96_d.mtx,180,229,2,4,2,3,2,3,4,4,4,3,4,2,4
GD97_c.mtx,452,460,2,4,2,4,3,3,4,4,4,3,5,2,4
GD98_c.mtx,112,168,3,3,3,3,3,3,3,3,3,3,3,3,3
GD99_c.mtx,105,149,4,4,3,4,3,4,4,3,3,3,4,3,4
gent113.mtx,113,655,4,7,4,6,6,5,5,6,5,4,6,4,6
gre_115.mtx,115,421,2,4,2,4,2,4,5,4,4,2,3,2,2
gre_185.mtx,185,1005,6,7,6,6,5,7,6,6,6,4,5,5,6
gre_216a.mtx,216,876,4,5,3,5,2,5,5,4,4,2,5,5,4
gre_216b.mtx,216,876,4,5,3,5,2,5,6,4,4,2,5,5,4
gre_343.mtx,343,1435,5,5,2,4,2,2,6,5,5,2,2,2,5
grid1.mtx,252,476,3,4,4,4,4,4,4,3,3,2,2,4,4
grid1_dual.mtx,224,420,4,4,4,4,4,4,4,4,4,2,4,4,4
hangGlider_1.mtx,360,1838,6,6,7,7,6,7,8,8,7,6,6,6,6
Harvard500.mtx,500,2636,21,21,21,21,21,21,21,21,21,21,21,21,21
hor_131.mtx,434,4710,16,18,16,18,17,16,16,16,16,16,17,16,17
impcol_a.mtx,207,572,5,6,6,7,6,6,6,6,6,5,6,5,6
impcol_c.mtx,137,411,5,6,5,6,6,6,6,6,7,5,6,4,6
impcol_d.mtx,425,1339,5,7,6,7,6,6,6,6,6,6,7,5,7
impcol_e.mtx,225,1308,12,14,13,14,13,13,13,13,13,12,13,12,15
jazz.mtx,198,2742,30,31,30,30,31,30,30,30,30,30,31,30,30
Journals.mtx,124,6096,66,75,75,66,71,71,70,74,66,66,75,66,75
lnsp_131.mtx,131,536,6,7,5,8,6,7,7,6,5,5,8,5,6
lns_131.mtx,131,536,5,7,6,8,6,7,7,6,7,5,8,5,6
lop163.mtx,163,935,4,4,5,3,4,5,5,5,5,2,2,3,3
lshp_265.mtx,265,1009,6,6,6,6,6,6,6,6,5,4,6,5,6
lshp_406.mtx,406,1561,6,6,6,6,6,6,6,6,6,5,6,5,5
lund_a.mtx,147,1298,13,15,11,15,11,15,13,16,14,9,15,10,16
mbeacxc.mtx,496,49920,90,115,114,92,100,101,98,113,92,92,115,91,116
mbeaflw.mtx,496,49920,90,115,114,92,100,101,97,113,92,92,115,91,116
mbeause.mtx,496,41063,73,92,91,73,82,81,81,89,75,74,91,73,90
mcca.mtx,180,2659,34,38,35,34,36,34,34,35,34,34,37,34,37
mesh2e1.mtx,306,1162,6,6,6,6,6,6,6,7,6,6,6,6,6
mesh2em5.mtx,306,1162,6,6,6,6,6,6,6,7,6,6,6,6,6
mesh3em5.mtx,289,1089,6,6,6,7,6,6,6,6,6,3,5,5,5
mhda416.mtx,416,8562,15,17,17,18,18,18,18,16,15,13,16,14,17
mhdb416.mtx,416,1364,6,7,7,7,7,7,7,8,6,6,8,6,8
mycielskian8.mtx,191,2360,8,9,9,8,8,8,8,8,8,8,9,8,9
mycielskian9.mtx,383,7271,9,12,12,9,9,9,9,9,9,9,12,9,12
n3c6-b1.mtx,105,210,3,3,3,3,3,3,3,3,3,3,3,3,3
nnc261.mtx,261,1500,2,4,2,3,2,2,5,4,4,2,3,2,3
nos1.mtx,237,627,3,3,3,3,3,3,3,3,3,2,2,3,3
nos4.mtx,100,347,4,5,5,5,4,4,4,5,5,4,5,4,4
nos5.mtx,468,2820,8,10,8,10,8,9,9,9,8,8,9,8,9
odepa400.mtx,400,1201,3,3,3,3,3,3,3,3,3,3,3,3,3
odepb400.mtx,400,399,1,1,1,1,1,1,1,1,1,1,1,1,1
olm100.mtx,100,396,4,4,3,4,4,4,4,4,4,3,4,4,4
olm500.mtx,500,1996,4,4,4,4,4,4,5,4,4,3,4,4,4
orbitRaising_1.mtx,442,1573,5,5,5,6,5,5,7,5,6,5,5,6,5
oscil_dcop_01.mtx,430,1544,4,5,4,5,4,4,4,4,4,4,5,4,5
oscil_dcop_02.mtx,430,1544,4,5,4,5,4,4,4,4,4,4,5,4,5
oscil_dcop_03.mtx,430,1544,4,5,4,5,4,4,4,4,4,4,5,4,5
oscil_dcop_04.mtx,430,1544,4,5,4,5,4,4,4,4,4,4,5,4,5
oscil_dcop_05.mtx,430,1544,4,5,4,5,4,4,4,4,4,4,5,4,5
oscil_dcop_06.mtx,430,1544,4,5,4,5,4,4,4,4,4,4,5,4,5
oscil_dcop_07.mtx,430,1544,4,5,4,5,4,4,4,4,4,4,5,4,5
oscil_dcop_08.mtx,430,1544,4,5,4,5,4,4,4,4,4,4,5,4,5
oscil_dcop_09.mtx,430,1544,4,5,4,5,4,4,4,4,4,4,5,4,5
oscil_dcop_10.mtx,430,1544,4,5,4,5,4,4,4,4,4,4,5,4,5
oscil_dcop_11.mtx,430,1544,4,5,4,5,4,4,4,4,4,4,5,4,5
oscil_dcop_12.mtx,430,1544,4,5,4,5,4,4,4,4,4,4,5,4,5
oscil_dcop_13.mtx,430,1544,4,5,4,5,4,4,4,4,4,4,5,4,5
oscil_dcop_14.mtx,430,1544,4,5,4,5,4,4,4,4,4,4,5,4,5
oscil_dcop_15.mtx,430,1544,4,5,4,5,4,4,4,4,4,4,5,4,5
oscil_dcop_16.mtx,430,1544,4,5,4,5,4,4,4,4,4,4,5,4,5
oscil_dcop_17.mtx,430,1544,4,5,4,5,4,4,5,4,4,4,5,4,5
oscil_dcop_18.mtx,430,1544,4,5,4,5,4,4,4,4,4,4,5,4,5
oscil_dcop_19.mtx,430,1544,4,5,4,5,4,4,4,4,4,4,5,4,5
oscil_dcop_20.mtx,430,1544,4,5,4,5,4,4,4,4,4,4,5,4,5
oscil_dcop_21.mtx,430,1544,4,5,4,5,4,4,4,4,4,4,5,4,5
oscil_dcop_22.mtx,430,1544,4,5,4,5,4,4,4,4,4,4,5,4,5
oscil_dcop_23.mtx,430,1544,4,5,4,5,4,4,4,4,4,4,5,4,5
oscil_dcop_24.mtx,430,1544,4,5,4,5,4,4,5,4,4,4,5,4,5
oscil_dcop_25.mtx,430,1544,4,5,4,5,4,4,4,4,4,4,5,4,5
oscil_dcop_26.mtx,430,1544,4,5,4,5,4,4,4,4,4,4,5,4,5
oscil_dcop_27.mtx,430,1544,4,5,4,5,4,4,5,4,4,4,5,4,5
oscil_dcop_28.mtx,430,1544,4,5,4,5,4,4,4,4,4,4,5,4,5
oscil_dcop_29.mtx,430,1544,4,5,4,5,4,4,4,4,4,4,5,4,5
oscil_dcop_30.mtx,430,1544,4,5,4,5,4,4,4,4,4,4,5,4,5
oscil_dcop_31.mtx,430,1544,4,5,4,5,4,4,4,4,4,4,5,4,5
oscil_dcop_32.mtx,430,1544,4,5,4,5,4,4,4,4,4,4,5,4,5
oscil_dcop_33.mtx,430,1544,4,5,4,5,4,4,4,4,4,4,5,4,5
oscil_dcop_34.mtx,430,1544,4,5,4,5,4,4,4,4,4,4,5,4,5
oscil_dcop_35.mtx,430,1544,4,5,4,5,4,4,4,4,4,4,5,4,5
oscil_dcop_36.mtx,430,1544,4,5,4,5,4,4,4,4,4,4,5,4,5
oscil_dcop_37.mtx,430,1544,4,5,4,5,4,4,5,4,4,4,5,4,5
oscil_dcop_38.mtx,430,1544,4,5,4,5,4,4,4,4,4,4,5,4,5
oscil_dcop_39.mtx,430,1544,4,5,4,5,4,4,4,4,4,4,5,4,5
oscil_dcop_40.mtx,430,1544,4,5,4,5,4,4,4,4,4,4,5,4,5
oscil_dcop_41.mtx,430,1544,4,5,4,5,4,4,4,4,4,4,5,4,5
oscil_dcop_42.mtx,430,1544,4,5,4,5,4,4,4,4,4,4,5,4,5
oscil_dcop_44.mtx,430,1544,4,5,4,5,4,4,5,4,4,4,5,4,5
oscil_dcop_45.mtx,430,1544,4,5,4,5,4,4,4,4,4,4,5,4,5
oscil_dcop_46.mtx,430,1544,4,5,4,5,4,4,4,4,4,4,5,4,5
oscil_dcop_47.mtx,430,1544,4,5,4,5,4,4,5,4,4,4,5,4,5
oscil_dcop_48.mtx,430,1544,4,5,4,5,4,4,4,4,4,4,5,4,5
oscil_dcop_49.mtx,430,1544,4,5,4,5,4,4,5,4,4,4,5,4,5
oscil_dcop_50.mtx,430,1544,4,5,4,5,4,4,4,4,4,4,5,4,5
oscil_dcop_51.mtx,430,1544,4,5,4,5,4,4,4,4,4,4,5,4,5
oscil_dcop_52.mtx,430,1544,4,5,4,5,4,4,4,4,4,4,5,4,5
oscil_dcop_54.mtx,430,1544,4,5,4,5,4,4,4,4,4,4,5,4,5
oscil_dcop_55.mtx,430,1544,4,5,4,5,4,4,4,4,4,4,5,4,5
oscil_dcop_56.mtx,430,1544,4,5,4,5,4,4,4,4,4,4,5,4,5
oscil_dcop_57.mtx,430,1544,4,5,4,5,4,4,4,4,4,4,5,4,5
oscil_trans_01.mtx,430,1614,5,7,5,6,5,6,5,5,6,5,6,5,6
pde225.mtx,225,1065,5,4,4,4,4,4,5,4,4,2,2,2,4
pivtol.mtx,102,306,3,3,3,3,3,3,3,3,3,3,4,3,3
plat362.mtx,362,3074,11,13,11,12,10,13,12,12,11,9,11,11,13
plskz362.mtx,362,880,3,5,5,5,5,6,5,5,4,3,5,5,5
poisson2D.mtx,367,2417,5,6,6,7,5,6,6,6,6,5,6,6,6
polbooks.mtx,105,441,6,10,9,8,10,8,9,9,7,7,9,6,10
problem1.mtx,415,2779,6,6,5,7,6,6,6,6,6,5,6,6,6
qc324.mtx,324,13527,81,81,81,81,81,81,81,81,81,81,81,81,81
rajat05.mtx,301,1384,4,5,5,5,5,5,5,5,5,4,5,4,6
rajat11.mtx,135,812,6,7,6,6,6,7,7,6,6,6,7,6,7
rajat14.mtx,180,1503,7,8,7,6,8,7,8,8,7,7,8,7,8
rbsa480.mtx,480,17088,17,26,24,17,26,18,22,21,21,18,28,17,27
rbsb480.mtx,480,17088,17,28,25,17,27,19,22,20,20,17,28,17,29
rdb200.mtx,200,1120,5,5,5,4,2,4,5,4,4,2,4,2,4
rdb200l.mtx,200,1120,5,5,5,4,2,4,5,4,4,2,4,2,4
rdb450.mtx,450,2580,5,4,5,5,4,5,5,4,4,2,2,4,4
rdb450l.mtx,450,2580,5,4,5,5,4,5,5,4,4,2,2,4,4
robot.mtx,120,870,5,7,6,7,8,8,7,8,6,6,9,5,8
rotor1.mtx,100,708,8,9,8,8,9,7,10,9,8,7,9,8,9
rw136.mtx,136,479,5,6,5,6,5,6,6,6,6,4,7,5,6
rw496.mtx,496,1859,7,6,6,6,6,6,6,6,6,4,5,5,6
saylr1.mtx,238,1128,4,4,4,4,4,5,4,4,4,2,4,4,4
SmallW.mtx,396,994,8,12,9,9,12,11,10,11,8,8,12,8,11
spaceStation_2.mtx,329,2999,8,8,7,8,8,8,10,8,8,7,7,8,8
spaceStation_3.mtx,467,2681,9,9,9,9,7,8,10,9,9,7,10,9,9
sphere3.mtx,258,1026,6,6,6,6,5,6,6,6,6,5,5,6,6
steam1.mtx,240,3762,9,12,6,10,6,6,12,12,9,6,6,6,12
str_0.mtx,363,2454,5,7,5,7,5,5,6,5,6,5,6,5,7
str_200.mtx,363,3068,6,9,5,9,9,6,8,6,8,5,8,7,8
str_400.mtx,363,3157,6,9,5,9,9,7,7,7,8,5,9,5,8
str_600.mtx,363,3279,6,10,6,9,9,6,7,6,8,6,10,6,9
tols340.mtx,340,2196,19,19,19,19,19,19,19,19,19,19,19,19,19
tomography.mtx,500,28726,36,47,46,35,48,35,37,42,40,35,45,36,44
Trefethen_150.mtx,150,1095,8,9,8,7,8,8,8,8,8,5,9,9,9
Trefethen_200.mtx,200,1545,9,8,5,7,8,9,8,8,6,6,7,7,6
Trefethen_200b.mtx,199,1536,7,9,7,10,8,8,8,9,3,6,6,9,8
Trefethen_300.mtx,300,2489,7,9,5,8,8,10,9,8,7,3,10,8,9
Trefethen_500.mtx,500,4489,10,9,9,3,9,7,10,10,8,7,7,7,10
tub100.mtx,100,396,3,4,3,4,3,3,4,4,4,2,4,2,4
tumorAntiAngiogenesis_1.mtx,205,953,5,5,6,6,5,5,6,6,6,5,6,5,5
tumorAntiAngiogenesis_2.mtx,305,1441,5,6,6,6,5,6,6,6,6,5,6,5,5
tumorAntiAngiogenesis_3.mtx,410,2099,5,6,6,6,5,5,7,6,6,5,6,5,5
tumorAntiAngiogenesis_4.mtx,455,2433,5,6,6,6,5,5,6,6,6,5,5,5,6
tumorAntiAngiogenesis_5.mtx,460,2483,5,6,5,6,5,5,6,6,6,5,6,5,6
tumorAntiAngiogenesis_6.mtx,465,2537,5,6,6,6,5,5,7,6,6,5,6,5,6
tumorAntiAngiogenesis_7.mtx,475,2441,5,6,6,6,5,5,6,6,6,5,6,5,6
tumorAntiAngiogenesis_8.mtx,490,2535,5,6,6,6,5,5,7,6,6,5,6,5,6
USAir97.mtx,332,2126,24,28,25,27,29,24,25,28,25,25,28,24,28
utm300.mtx,300,3155,11,15,12,16,12,14,14,14,14,12,15,13,13
west0132.mtx,132,414,5,7,6,7,7,6,6,6,5,5,8,5,7
west0156.mtx,156,371,4,5,5,6,4,6,5,5,5,5,5,4,6
west0167.mtx,167,507,5,6,5,7,6,6,6,6,7,5,7,5,7
west0381.mtx,381,2157,6,9,7,8,8,6,8,7,8,7,8,6,9
west0479.mtx,479,1910,6,8,7,8,7,8,8,7,8,6,8,6,8
west0497.mtx,497,1727,6,7,6,8,7,8,7,6,8,7,8,7,9
will199.mtx,199,701,6,5,5,6,5,6,6,6,5,5,7,6,6
,,,2116,2546,2247,2380,2291,2282,2354,2362,2189,2039,2498,2120,2498
,,,1566,,1697,,1740,,,,1639,1551,,1570,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,1510,,,
