Graph Name, Num_nodes, Num_edges, DegreeOrderDesc, Degree2OrderDesc,  Degree3OrderDesc,Random, ClusteringCoeffDesc, ClosenessCentralityDesc, PageRankDesc, Regression ,
mcca.mtx,180,2659,34,35,36,34,34,34,34,34,
cage_G_08.mtx,58,87,3,3,3,3,3,3,3,3,
oscil_dcop_15.mtx,430,1544,4,4,4,5,4,4,4,3,
olm500.mtx,500,1996,4,4,4,4,4,3,4,3,
hor_131.mtx,434,4710,16,16,17,16,16,16,16,16,
fs_183_4.mtx,183,1069,7,8,9,8,7,7,7,7,
GD06_theory.mtx,101,190,2,2,2,2,2,2,2,2,
str_200.mtx,363,3068,6,5,9,7,6,5,7,5,
tumorAntiAngiogenesis_3.mtx,410,2099,5,6,6,6,6,5,5,5,
plskz362.mtx,362,880,5,5,5,6,5,3,5,3,
bcsstk04.mtx,132,1890,13,16,17,15,14,13,12,14,
tumorAntiAngiogenesis_7.mtx,475,2441,5,6,7,7,6,5,5,5,
hangGlider_1.mtx,360,1838,6,7,7,9,7,6,6,6,
mesh2e1.mtx,306,1162,6,6,6,6,6,6,6,5,
oscil_dcop_24.mtx,430,1544,4,4,4,4,4,4,4,3,
dwt_198.mtx,198,795,6,5,7,7,5,6,9,5,
ex1.mtx,216,4352,10,12,13,14,10,11,10,10,
Harvard500.mtx,500,2636,21,21,21,21,21,21,21,21,
dwt_361.mtx,361,1657,7,6,7,7,7,4,6,4,
ck104.mtx,104,992,9,9,8,8,9,6,8,6,
dwt_310.mtx,310,1379,7,6,7,7,6,6,6,6,
oscil_dcop_47.mtx,430,1544,4,4,4,5,4,4,4,3,
oscil_dcop_38.mtx,430,1544,4,4,4,5,4,4,4,3,
oscil_dcop_49.mtx,430,1544,4,4,4,4,4,4,4,3,
rajat14.mtx,180,1503,7,8,8,8,7,7,7,6,
Chebyshev1.mtx,261,2319,9,9,9,9,9,9,9,9,
cage_G_39.mtx,94,376,5,5,5,6,5,5,5,5,
oscil_dcop_13.mtx,430,1544,4,4,4,4,4,4,4,3,
bfwb398.mtx,398,1654,5,5,6,7,6,4,6,4,
bcsstm20.mtx,485,485,0,0,0,0,0,0,0,0,
cage_G_20.mtx,58,87,3,3,3,3,3,3,3,3,
oscil_dcop_10.mtx,430,1544,4,4,4,5,4,4,4,3,
cage_G_25.mtx,70,105,3,3,3,3,3,3,3,3,
celegansneural.mtx,297,2345,9,11,14,12,12,10,10,9,
GD96_d.mtx,180,229,2,2,2,3,2,2,2,2,
olm100.mtx,100,396,4,3,4,4,4,3,4,3,
tumorAntiAngiogenesis_2.mtx,305,1441,5,6,6,6,6,5,5,5,
tumorAntiAngiogenesis_8.mtx,490,2535,5,6,6,7,6,5,5,5,
oscil_dcop_12.mtx,430,1544,4,4,4,4,4,4,4,3,
lnsp_131.mtx,131,536,5,5,6,6,5,5,5,5,
cage_G_14.mtx,58,87,3,3,3,3,3,3,3,3,
rdb200.mtx,200,1120,5,5,3,4,5,2,2,2,
mhdb416.mtx,416,1364,6,7,7,7,6,6,6,6,
bfwa398.mtx,398,3678,7,7,8,9,7,7,6,5,
rdb200l.mtx,200,1120,5,5,3,5,5,2,2,2,
tumorAntiAngiogenesis_4.mtx,455,2433,5,6,6,7,6,5,5,5,
impcol_a.mtx,207,572,4,5,6,5,5,5,5,5,
lns_131.mtx,131,536,5,5,6,6,5,5,5,5,
oscil_dcop_52.mtx,430,1544,4,4,4,4,4,4,4,3,
oscil_dcop_33.mtx,430,1544,4,4,4,5,4,4,4,3,
oscil_dcop_26.mtx,430,1544,4,4,4,5,4,4,4,3,
cage_G_11.mtx,58,87,3,3,3,3,3,3,3,3,
oscil_dcop_03.mtx,430,1544,4,4,4,4,4,4,4,3,
oscil_dcop_16.mtx,430,1544,4,4,4,4,4,4,4,3,
oscil_dcop_11.mtx,430,1544,4,4,4,4,4,4,4,3,
cage_G_24.mtx,70,105,3,3,3,3,3,3,3,3,
cage7.mtx,340,3084,7,6,7,7,7,7,6,7,
bwm200.mtx,200,796,3,3,3,4,3,2,4,2,
cage_G_12.mtx,58,87,3,3,3,3,3,3,3,3,
cage_G_37.mtx,62,186,3,3,3,6,3,3,3,3,
dwt_492.mtx,492,1824,6,6,6,6,6,5,6,5,
rajat11.mtx,135,812,6,6,6,7,6,6,6,6,
grid1_dual.mtx,224,420,4,4,4,4,4,2,4,2,
cage_G_31.mtx,19,38,4,4,4,4,4,4,4,4,
GD97_c.mtx,452,460,2,2,3,3,2,3,2,2,
cage_G_28.mtx,272,408,3,3,3,3,3,3,3,3,
impcol_d.mtx,425,1339,5,6,7,6,7,6,5,6,
Trefethen_300.mtx,300,2489,9,8,9,9,9,3,8,3,
USAir97.mtx,332,2126,24,25,28,25,25,25,24,24,
cage_G_03.mtx,24,36,3,3,3,3,3,3,3,3,
qc324.mtx,324,13527,81,81,81,81,81,81,81,81,
tumorAntiAngiogenesis_1.mtx,205,953,5,7,6,6,6,5,5,5,
cz148.mtx,148,1527,10,9,12,10,10,10,9,10,
oscil_dcop_18.mtx,430,1544,4,4,4,4,4,4,4,3,
ash292.mtx,292,1250,6,7,7,7,7,6,6,6,
celegans_metabolic.mtx,453,2040,11,11,15,12,10,11,11,10,
rdb450l.mtx,450,2580,6,5,4,5,6,2,2,2,
GD01_a.mtx,259,645,7,6,6,8,7,6,7,6,
oscil_dcop_42.mtx,430,1544,4,4,4,5,4,4,4,3,
can_445.mtx,445,2127,7,7,7,7,7,7,6,7,
cage_G_35.mtx,30,75,5,5,5,4,5,5,5,5,
Erdos981.mtx,445,1381,9,9,12,11,9,9,9,9,
Trefethen_500.mtx,500,4489,9,9,9,10,9,9,7,7,
Trefethen_200b.mtx,199,1536,8,8,8,9,8,7,8,7,
cavity02.mtx,317,7327,19,19,20,21,22,19,23,19,
cage_G_19.mtx,58,87,3,3,3,3,3,3,3,3,
cage_G_16.mtx,58,87,3,3,3,3,3,3,3,3,
oscil_dcop_50.mtx,430,1544,4,4,4,4,4,4,4,3,
cage_G_36.mtx,42,105,3,3,3,5,3,3,3,3,
bcsstk20.mtx,485,1810,9,9,9,8,9,6,9,9,
odepb400.mtx,399,399,0,0,0,0,0,0,0,0,
fs_183_3.mtx,183,1069,7,8,9,9,7,7,7,7,
oscil_dcop_40.mtx,430,1544,4,4,4,4,4,4,4,3,
pde225.mtx,225,1065,5,4,4,4,5,2,2,2,
oscil_dcop_19.mtx,430,1544,4,4,4,5,4,4,4,3,
bcsstk06.mtx,420,4140,13,15,14,14,13,13,13,13,
oscil_dcop_32.mtx,430,1544,4,4,4,4,4,4,4,3,
oscil_dcop_08.mtx,430,1544,4,4,4,4,4,4,4,3,
oscil_dcop_20.mtx,430,1544,4,4,4,4,4,4,4,3,
cavity04.mtx,317,7327,19,19,20,22,22,19,23,19,
oscil_dcop_41.mtx,430,1544,4,4,4,4,4,4,4,3,
oscil_dcop_28.mtx,430,1544,4,4,4,4,4,4,4,3,
cavity01.mtx,317,7327,19,19,20,22,22,19,23,19,
fs_183_1.mtx,183,1069,7,8,9,10,7,7,7,7,
robot.mtx,120,870,7,6,8,9,6,5,5,5,
west0132.mtx,132,414,5,6,7,6,6,5,5,5,
nnc261.mtx,261,1500,2,2,2,4,2,2,2,2,
can_187.mtx,187,839,6,6,6,7,6,6,6,6,
impcol_e.mtx,225,1308,12,13,13,13,13,12,12,13,
cage_G_06.mtx,58,87,3,3,3,3,3,3,3,3,
cage_G_40.mtx,114,456,2,2,2,6,2,2,2,2,
cage_G_15.mtx,58,87,3,3,3,3,3,3,3,3,
cage_G_04.mtx,30,45,3,3,3,3,3,3,3,3,
fs_183_6.mtx,183,1069,7,8,9,8,7,7,7,7,
bcsstm03.mtx,112,112,0,0,0,0,0,0,0,0,
bcsstm06.mtx,420,420,0,0,0,0,0,0,0,0,
oscil_dcop_23.mtx,430,1544,4,4,4,4,4,4,4,3,
orbitRaising_1.mtx,442,1573,6,5,5,7,6,5,6,5,
cage_G_23.mtx,70,105,3,3,3,3,3,3,3,3,
bcspwr03.mtx,118,297,4,4,4,4,4,4,4,4,
oscil_dcop_45.mtx,430,1544,4,4,4,4,4,4,4,3,
gre_216b.mtx,216,876,4,3,2,6,4,2,5,2,
west0497.mtx,497,1727,6,6,7,7,7,7,7,5,
cage_G_29.mtx,406,609,3,3,3,3,3,3,3,3,
cage_G_22.mtx,58,87,3,3,3,3,3,3,3,3,
problem1.mtx,415,2779,6,6,6,6,6,5,6,6,
bcspwr04.mtx,274,943,8,8,7,8,8,7,8,7,
dwt_209.mtx,209,976,7,6,7,8,7,7,7,7,
bcsstk22.mtx,138,417,6,5,6,6,6,6,6,6,
gre_185.mtx,185,1005,6,6,5,6,6,4,5,5,
dwt_245.mtx,245,853,6,6,6,7,7,7,7,6,
nos1.mtx,237,627,3,3,3,3,3,2,3,2,
adjnoun.mtx,112,425,6,6,9,8,7,7,6,6,
gre_343.mtx,343,1435,5,2,2,6,5,2,2,2,
Erdos991.mtx,454,1417,9,9,12,11,10,9,9,9,
oscil_dcop_46.mtx,430,1544,4,4,4,4,4,4,4,3,
oscil_dcop_44.mtx,430,1544,4,4,4,5,4,4,4,3,
cage_G_07.mtx,58,87,3,3,3,3,3,3,3,3,
dwt_307.mtx,307,1415,7,6,7,7,7,6,7,6,
tumorAntiAngiogenesis_6.mtx,465,2537,5,7,6,7,6,5,5,5,
mhda416.mtx,416,8562,15,15,17,18,16,13,14,14,
cage_G_38.mtx,50,175,6,6,6,5,6,6,6,6,
bcsstm07.mtx,420,3836,12,14,14,14,14,13,16,13,
oscil_dcop_57.mtx,430,1544,4,4,4,4,4,4,4,3,
cage_G_43.mtx,182,910,3,2,3,7,3,2,3,2,
rw496.mtx,496,1859,7,6,6,6,6,4,5,5,
cage_G_42.mtx,146,657,2,2,2,5,2,2,2,2,
tub100.mtx,100,396,3,3,3,4,3,2,2,2,
cage_G_01.mtx,10,15,3,3,3,3,3,3,3,3,
lop163.mtx,163,935,4,5,5,5,4,2,3,2,
cage_G_05.mtx,58,87,3,3,3,3,3,3,3,3,
oscil_dcop_48.mtx,430,1544,4,4,4,4,4,4,4,3,
oscil_dcop_36.mtx,430,1544,4,4,4,4,4,4,4,3,
oscil_dcop_29.mtx,430,1544,4,4,4,4,4,4,4,3,
impcol_c.mtx,137,411,5,5,6,5,6,5,4,6,
494_bus.mtx,494,1080,4,4,4,4,4,3,4,3,
west0167.mtx,167,507,5,5,6,6,6,5,5,5,
cage_G_27.mtx,126,189,3,3,3,3,3,3,3,3,
oscil_trans_01.mtx,430,1614,5,5,5,5,6,5,5,5,
n3c6-b1.mtx,105,210,3,3,3,5,3,3,3,3,
cage_G_33.mtx,76,152,4,4,4,4,4,4,4,4,
football.mtx,115,613,9,9,9,9,9,9,9,9,
bcsstm22.mtx,138,138,0,0,0,0,0,0,0,0,
oscil_dcop_02.mtx,430,1544,4,4,4,5,4,4,4,3,
oscil_dcop_09.mtx,430,1544,4,4,4,4,4,4,4,3,
oscil_dcop_14.mtx,430,1544,4,4,4,4,4,4,4,3,
pivtol.mtx,102,306,3,3,3,3,3,3,3,3,
nos4.mtx,100,347,5,4,5,5,4,4,4,4,
tumorAntiAngiogenesis_5.mtx,460,2483,5,7,6,6,6,5,5,5,
oscil_dcop_01.mtx,430,1544,4,4,4,5,4,4,4,3,
SmallW.mtx,233,994,8,9,11,10,9,8,8,8,
can_144.mtx,144,720,6,7,7,8,6,6,6,6,
dwt_419.mtx,419,1991,7,8,8,7,7,8,8,8,
dwt_193.mtx,193,1843,12,11,14,13,12,11,12,10,
dwt_162.mtx,162,672,6,5,8,8,6,4,5,5,
saylr1.mtx,238,1128,5,4,4,4,5,2,4,2,
oscil_dcop_04.mtx,430,1544,4,4,4,5,4,4,4,3,
GD00_a.mtx,352,458,3,4,4,5,4,4,3,5,
cage_G_17.mtx,58,87,3,3,3,3,3,3,3,3,
lshp_406.mtx,406,1561,6,6,6,6,6,5,5,6,
bcsstk07.mtx,420,4140,13,15,14,15,13,13,13,13,
oscil_dcop_51.mtx,430,1544,4,4,4,4,4,4,4,3,
GD98_c.mtx,112,168,3,3,3,3,3,3,3,3,
str_600.mtx,363,3279,5,6,9,8,8,6,6,6,
cage_G_30.mtx,620,930,3,3,3,3,3,3,3,3,
oscil_dcop_25.mtx,430,1544,4,4,4,4,4,4,4,3,
oscil_dcop_06.mtx,430,1544,4,4,4,4,4,4,4,3,
utm300.mtx,300,3155,10,11,12,13,12,12,13,10,
ck400.mtx,400,2860,9,10,10,9,9,6,8,7,
cage_G_02.mtx,14,21,2,2,2,3,2,2,2,2,
oscil_dcop_31.mtx,430,1544,4,4,4,4,4,4,4,3,
dwt_234.mtx,234,534,3,3,3,3,3,3,3,3,
rw136.mtx,136,479,6,6,6,5,6,4,5,5,
steam1.mtx,240,3762,8,6,6,12,8,6,6,6,
grid1.mtx,252,476,4,4,4,4,4,2,4,2,
oscil_dcop_54.mtx,430,1544,4,4,4,4,4,4,4,3,
rdb450.mtx,450,2580,6,5,4,5,6,2,2,2,
oscil_dcop_55.mtx,430,1544,4,4,4,4,4,4,4,3,
oscil_dcop_05.mtx,430,1544,4,4,4,4,4,4,4,3,
bcsstm05.mtx,153,153,0,0,0,0,0,0,0,0,
gre_216a.mtx,216,876,4,3,2,6,4,2,5,2,
cage_G_13.mtx,58,87,3,3,3,3,3,3,3,3,
Trefethen_150.mtx,150,1095,4,6,6,9,9,3,9,3,
str_0.mtx,363,2454,5,5,5,6,6,5,5,5,
cage_G_18.mtx,58,87,3,3,3,3,3,3,3,3,
mesh2em5.mtx,306,1162,6,6,6,7,6,6,6,5,
cage.mtx,366,2562,2,2,2,8,2,2,2,2,
cz308.mtx,308,3182,8,12,10,11,11,10,9,10,
bcsstk03.mtx,112,376,5,5,5,5,5,4,4,5,
bcsstk05.mtx,153,1288,10,11,11,10,11,11,9,10,
str_400.mtx,363,3157,6,5,9,7,8,5,5,6,
plat362.mtx,362,3074,11,10,10,12,11,9,11,10,
oscil_dcop_07.mtx,430,1544,4,4,4,4,4,4,4,3,
gre_115.mtx,115,421,2,2,2,5,2,2,2,2,
odepa400.mtx,400,1201,3,3,3,3,3,3,3,3,
polbooks.mtx,105,441,6,9,10,7,8,7,6,8,
,,,1638,1660,1744,1836,1706,1550,1625,1489,1356
