Name,Family
./../../Matrices/small/dwt_361.mtx,structural problem
./../../Matrices/small/tumorAntiAngiogenesis_5.mtx,optimal control problem
./../../Matrices/small/olm100.mtx,computational fluid dynamics problem
./../../Matrices/small/lop163.mtx,statistical/mathematical problem
./../../Matrices/small/tumorAntiAngiogenesis_8.mtx,optimal control problem
./../../Matrices/small/fs_183_6.mtx,subsequent 2D/3D problem
./../../Matrices/small/bcspwr03.mtx,power network problem
./../../Matrices/small/mcca.mtx,2D/3D problem
./../../Matrices/small/Erdos981.mtx,undirected graph
./../../Matrices/small/cage_G_39.mtx,
./../../Matrices/small/cage_G_05.mtx,
./../../Matrices/small/lund_a.mtx,structural problem
./../../Matrices/small/mesh3em5.mtx,structural problem
./../../Matrices/small/Trefethen_150.mtx,combinatorial problem
./../../Matrices/small/str_400.mtx,subsequent optimization problem
./../../Matrices/small/cz308.mtx,2D/3D problem
./../../Matrices/small/ash292.mtx,least squares problem
./../../Matrices/small/tumorAntiAngiogenesis_4.mtx,optimal control problem
./../../Matrices/small/steam1.mtx,computational fluid dynamics problem
./../../Matrices/small/can_445.mtx,structural problem
./../../Matrices/small/n3c6-b1.mtx,combinatorial problem
./../../Matrices/small/rajat11.mtx,circuit simulation problem
./../../Matrices/small/can_161.mtx,structural problem
./../../Matrices/small/cage_G_33.mtx,
./../../Matrices/small/cage_G_15.mtx,
./../../Matrices/small/cage_G_13.mtx,
./../../Matrices/small/arc130.mtx,materials problem
./../../Matrices/small/lshp_406.mtx,thermal problem
./../../Matrices/small/cage_G_17.mtx,
./../../Matrices/small/cage_G_14.mtx,
./../../Matrices/small/hangGlider_1.mtx,optimal control problem
./../../Matrices/small/plat362.mtx,2D/3D problem
./../../Matrices/small/gre_115.mtx,directed weighted graph
./../../Matrices/small/odepa400.mtx,2D/3D problem
./../../Matrices/small/GD99_c.mtx,directed graph
./../../Matrices/small/cage_G_29.mtx,
./../../Matrices/small/cage_G_36.mtx,
./../../Matrices/small/dwt_162.mtx,structural problem
./../../Matrices/small/cage_G_19.mtx,
./../../Matrices/small/Harvard500.mtx,directed graph
./../../Matrices/small/dwt_234.mtx,structural problem
./../../Matrices/small/cavity02.mtx,subsequent computational fluid dynamics problem
./../../Matrices/small/bcsstk04.mtx,structural problem
./../../Matrices/small/cage_G_25.mtx,
./../../Matrices/small/west0479.mtx,chemical process simulation problem
./../../Matrices/small/tumorAntiAngiogenesis_7.mtx,optimal control problem
./../../Matrices/small/tumorAntiAngiogenesis_2.mtx,optimal control problem
./../../Matrices/small/dwt_310.mtx,structural problem
./../../Matrices/small/cage_G_27.mtx,
./../../Matrices/small/pivtol.mtx,statistical/mathematical problem
./../../Matrices/small/poisson2D.mtx,computational fluid dynamics problem
./../../Matrices/small/celegans_metabolic.mtx,undirected multigraph
./../../Matrices/small/gre_216b.mtx,directed weighted graph
./../../Matrices/small/ck104.mtx,2D/3D problem
./../../Matrices/small/west0381.mtx,chemical process simulation problem
./../../Matrices/small/olm500.mtx,computational fluid dynamics problem
./../../Matrices/small/str_600.mtx,subsequent optimization problem
./../../Matrices/small/bcsstk03.mtx,structural problem
./../../Matrices/small/GD96_d.mtx,directed graph
./../../Matrices/small/cage_G_16.mtx,
./../../Matrices/small/cage_G_11.mtx,
./../../Matrices/small/USAir97.mtx,undirected weighted graph
./../../Matrices/small/bcsstk06.mtx,structural problem
./../../Matrices/small/str_200.mtx,subsequent optimization problem
./../../Matrices/small/football.mtx,undirected multigraph
./../../Matrices/small/bfwa398.mtx,electromagnetics problem
./../../Matrices/small/Trefethen_200.mtx,combinatorial problem
./../../Matrices/small/dwt_209.mtx,structural problem
./../../Matrices/small/Erdos991.mtx,undirected graph
./../../Matrices/small/cage_G_02.mtx,
./../../Matrices/small/bwm200.mtx,chemical process simulation problem
./../../Matrices/small/dwt_221.mtx,structural problem
./../../Matrices/small/bcsstk20.mtx,structural problem
./../../Matrices/small/spaceStation_2.mtx,optimal control problem
./../../Matrices/small/nos1.mtx,structural problem
./../../Matrices/small/west0156.mtx,chemical process simulation problem
./../../Matrices/small/west0132.mtx,chemical process simulation problem
./../../Matrices/small/oscil_trans_01.mtx,circuit simulation problem
./../../Matrices/small/rotor1.mtx,structural problem
./../../Matrices/small/west0497.mtx,chemical process simulation problem
./../../Matrices/small/bcsstk05.mtx,structural problem
./../../Matrices/small/lshp_265.mtx,thermal problem
./../../Matrices/small/utm300.mtx,electromagnetics problem
./../../Matrices/small/cage_G_23.mtx,
./../../Matrices/small/hor_131.mtx,directed weighted graph
./../../Matrices/small/cage_G_09.mtx,
./../../Matrices/small/tumorAntiAngiogenesis_6.mtx,optimal control problem
./../../Matrices/small/cz148.mtx,2D/3D problem
./../../Matrices/small/pde225.mtx,2D/3D problem
./../../Matrices/small/gre_185.mtx,directed weighted graph
./../../Matrices/small/jazz.mtx,undirected multigraph
./../../Matrices/small/cage_G_44.mtx,
./../../Matrices/small/rdb450.mtx,computational fluid dynamics problem
./../../Matrices/small/bfwb398.mtx,electromagnetics problem
./../../Matrices/small/cage_G_40.mtx,
./../../Matrices/small/cage_G_18.mtx,
./../../Matrices/small/cage_G_35.mtx,
./../../Matrices/small/cavity03.mtx,subsequent computational fluid dynamics problem
./../../Matrices/small/lns_131.mtx,computational fluid dynamics problem
./../../Matrices/small/nos4.mtx,structural problem
./../../Matrices/small/can_256.mtx,structural problem
./../../Matrices/small/dwt_245.mtx,structural problem
./../../Matrices/small/celegansneural.mtx,directed weighted graph
./../../Matrices/small/GD97_c.mtx,directed multigraph
./../../Matrices/small/mhda416.mtx,electromagnetics problem
./../../Matrices/small/SmallW.mtx,directed multigraph
./../../Matrices/small/cage_G_12.mtx,
./../../Matrices/small/impcol_a.mtx,chemical process simulation problem
./../../Matrices/small/nos5.mtx,structural problem
./../../Matrices/small/dwt_198.mtx,structural problem
./../../Matrices/small/cage_G_45.mtx,
./../../Matrices/small/qc324.mtx,electromagnetics problem
./../../Matrices/small/spaceStation_3.mtx,optimal control problem
./../../Matrices/small/Trefethen_200b.mtx,combinatorial problem
./../../Matrices/small/lnsp_131.mtx,computational fluid dynamics problem
./../../Matrices/small/cage_G_43.mtx,
