graphname,num_nodes,num_edges,optimal,degree1,degree2,degree3,closeness,clustering,pagerank,weighted,uniform,random,dynamic,saturation
tumorAntiAngiogenesis_2.mtx,305,1441,4,5,5,5,5,6,5,5,5,6.0,5,5
tumorAntiAngiogenesis_8.mtx,490,2535,4,5,5,5,5,6,5,5,5,6.2,5,5
lnsp_131.mtx,131,536,5,5,5,5,5,5,5,5,6,6.4,6,5
cage_G_14.mtx,58,87,3,4,4,4,4,4,4,4,4,3.8,3,3
rdb200.mtx,200,1120,2,2,2,2,2,2,2,2,2,4.6,2,2
mhdb416.mtx,416,1364,6,6,6,6,6,6,6,6,6,7.0,6,6
bfwa398.mtx,398,3678,5,6,6,6,7,6,6,6,6,8.0,6,6
tumorAntiAngiogenesis_4.mtx,455,2433,4,5,5,5,5,6,5,5,5,6.2,5,5
impcol_a.mtx,207,572,4,5,5,5,5,6,5,5,5,5.4,5,5
lns_131.mtx,131,536,5,5,5,5,5,5,5,5,5,6.8,5,5
cage_G_11.mtx,58,87,3,4,4,4,4,4,4,4,4,3.8,3,3
cage_G_24.mtx,70,105,2,2,2,2,2,2,2,2,2,4.0,2,2
cage7.mtx,340,3084,5,7,7,7,7,7,6,7,8,7.6,7,5
bwm200.mtx,200,796,2,2,2,2,2,2,4,2,2,4.0,2,2
cage_G_12.mtx,58,87,3,4,4,4,4,4,4,4,4,3.8,3,3
cage_G_37.mtx,62,186,2,2,2,2,2,2,2,2,2,4.0,2,2
dwt_492.mtx,492,1824,4,5,5,5,5,6,6,5,5,6.2,5,5
rajat11.mtx,135,812,6,6,6,6,6,6,6,6,6,6.8,6,6
grid1_dual.mtx,224,420,2,3,2,2,2,3,4,2,2,4.2,2,2
cage_G_31.mtx,19,38,3,4,4,4,4,4,4,4,4,4.0,5,4
GD97_c.mtx,452,460,2,2,2,2,2,2,2,2,2,3.4,2,2
cage_G_28.mtx,272,408,3,4,4,4,4,4,4,4,4,4.0,3,3
impcol_d.mtx,425,1339,4,5,6,7,6,6,5,5,7,6.2,5,5
Trefethen_300.mtx,300,2489,3,4,5,3,3,7,8,3,3,9.0,3,3
USAir97.mtx,332,2126,22,24,24,24,25,25,24,24,26,25.4,23,23
cage_G_03.mtx,24,36,3,4,4,4,4,4,4,4,4,3.4,4,3
qc324.mtx,324,13527,81,82,82,82,82,82,82,82,82,81.2,82,81
tumorAntiAngiogenesis_1.mtx,205,953,4,5,5,5,5,6,5,5,5,6.4,5,5
cz148.mtx,148,1527,8,9,8,11,10,10,9,10,10,11.2,9,9
ash292.mtx,292,1250,6,7,6,7,6,7,6,7,7,7.2,6,6
celegans_metabolic.mtx,453,2040,9,11,11,10,11,10,11,10,11,12.6,11,10
GD01_a.mtx,259,645,6,6,7,7,6,7,7,6,7,7.0,7,6
can_445.mtx,445,2127,5,7,7,7,7,7,6,7,6,7.0,6,6
cage_G_35.mtx,30,75,3,5,5,5,5,5,5,5,5,4.2,5,4
Erdos981.mtx,445,1381,7,9,9,9,9,9,9,9,9,10.6,8,8
Trefethen_500.mtx,500,4489,3,5,10,7,6,5,7,6,3,10.0,3,3
Trefethen_200b.mtx,199,1536,3,6,4,5,6,5,8,8,3,8.4,3,3
cavity02.mtx,317,7327,19,19,19,19,19,22,24,19,19,20.6,19,19
cage_G_19.mtx,58,87,3,4,4,4,3,4,4,3,4,4.0,3,3
cage_G_16.mtx,58,87,3,4,4,4,4,4,4,4,4,3.8,3,3
cage_G_36.mtx,42,105,2,2,2,2,2,2,2,2,2,3.8,2,2
bcsstk20.mtx,485,1810,6,9,9,9,6,9,9,9,6,8.0,6,6
pde225.mtx,225,1065,2,2,2,2,2,2,2,2,2,4.0,2,2
oscil_dcop_19.mtx,430,1544,3,4,4,4,4,4,4,3,4,4.0,3,4
bcsstk06.mtx,420,4140,12,13,13,13,13,13,13,13,15,15.0,13,13
robot.mtx,120,870,5,5,6,6,5,6,5,5,6,8.0,5,5
west0132.mtx,132,414,4,5,5,6,5,6,5,5,6,6.2,5,5
nnc261.mtx,261,1500,2,2,3,2,2,2,2,2,2,4.0,2,2
can_187.mtx,187,839,4,4,5,6,6,4,6,6,4,7.0,4,4
impcol_e.mtx,225,1308,12,12,13,13,12,13,12,13,12,12.2,13,13
cage_G_06.mtx,58,87,3,4,4,4,4,4,4,4,4,4.0,3,3
cage_G_40.mtx,114,456,2,2,2,2,2,2,2,2,2,5.4,2,2
cage_G_15.mtx,58,87,3,4,4,4,4,4,4,4,4,3.6,3,3
cage_G_04.mtx,30,45,2,2,2,2,2,2,2,2,2,3.8,2,2
fs_183_6.mtx,183,1069,7,7,7,7,7,7,7,7,7,8.8,7,7
orbitRaising_1.mtx,442,1573,4,4,5,5,5,6,6,6,4,6.6,4,4
cage_G_23.mtx,70,105,2,2,2,2,2,2,2,2,2,3.6,2,2
bcspwr03.mtx,118,297,4,4,4,4,4,4,4,4,4,4.6,4,4
gre_216b.mtx,216,876,2,2,2,2,2,2,5,2,2,5.2,2,2
west0497.mtx,497,1727,4,6,6,5,7,7,7,6,6,6.8,6,5
cage_G_29.mtx,406,609,2,2,2,2,2,2,2,2,2,4.0,2,2
cage_G_22.mtx,58,87,3,4,4,4,4,4,4,4,4,3.8,3,3
problem1.mtx,415,2779,4,6,6,6,5,6,6,6,6,6.0,5,5
bcspwr04.mtx,274,943,7,8,8,7,8,8,8,7,8,8.0,7,7
dwt_209.mtx,209,976,5,7,6,6,7,7,7,6,6,7.0,6,6
bcsstk22.mtx,138,417,5,6,6,6,6,5,6,6,6,6.0,5,5
gre_185.mtx,185,1005,3,4,4,4,4,4,5,4,4,6.2,4,3
dwt_245.mtx,245,853,5,7,7,7,7,7,7,6,7,6.8,6,5
nos1.mtx,237,627,2,2,2,2,2,2,3,2,2,3.0,2,2
adjnoun.mtx,112,425,5,6,7,6,7,7,6,7,7,8.0,6,5
gre_343.mtx,343,1435,2,2,2,2,2,2,2,2,2,5.2,2,2
Erdos991.mtx,454,1417,7,9,9,10,9,9,9,10,9,10.6,9,9
cage_G_07.mtx,58,87,3,3,3,3,3,3,3,3,3,4.0,4,3
dwt_307.mtx,307,1415,4,6,6,6,6,6,7,6,5,6.8,6,6
tumorAntiAngiogenesis_6.mtx,465,2537,4,5,5,5,5,6,5,5,5,6.6,5,5
mhda416.mtx,416,8562,13,13,13,13,13,13,14,13,13,17.0,13,13
cage_G_38.mtx,50,175,4,8,8,8,8,8,8,8,8,5.8,6,5
bcsstm07.mtx,420,3836,12,13,13,13,13,14,16,13,14,14.0,13,12
cage_G_43.mtx,182,910,2,2,2,2,2,2,2,2,2,6.4,2,2
rw496.mtx,496,1859,4,4,5,5,4,5,5,5,4,6.0,4,4
cage_G_42.mtx,146,657,2,2,2,2,2,2,2,2,2,5.8,2,2
tub100.mtx,100,396,2,2,2,2,2,2,4,2,2,4.0,2,2
cage_G_01.mtx,10,15,3,4,4,4,4,4,4,4,4,3.2,3,3
lop163.mtx,163,935,2,3,2,2,2,3,3,3,2,5.2,2,2
cage_G_05.mtx,58,87,3,3,3,3,4,3,3,4,3,3.8,3,3
impcol_c.mtx,137,411,4,4,5,6,5,6,4,6,6,5.8,5,4
494_bus.mtx,494,1080,3,4,4,3,3,4,4,3,4,4.4,4,3
west0167.mtx,167,507,4,5,5,6,5,6,5,5,6,6.4,5,5
cage_G_27.mtx,126,189,2,2,2,2,2,2,2,2,2,4.0,2,2
oscil_trans_01.mtx,430,1614,5,5,5,5,5,6,5,5,5,5.0,5,5
n3c6-b1.mtx,105,210,3,3,3,3,3,3,3,3,4,4.4,3,3
cage_G_33.mtx,76,152,3,4,4,4,4,4,4,4,4,4.2,5,3
football.mtx,115,613,9,9,9,9,9,9,9,9,9,9.0,9,9
pivtol.mtx,102,306,3,3,3,3,3,3,3,3,3,3.0,3,3
nos4.mtx,100,347,3,3,4,4,4,4,4,4,4,4.8,4,4
tumorAntiAngiogenesis_5.mtx,460,2483,4,5,5,5,5,6,5,5,5,6.4,5,5
SmallW.mtx,233,994,8,8,9,9,8,9,8,8,9,10.2,8,8
can_144.mtx,144,720,6,6,6,6,6,6,6,6,6,7.4,6,6
dwt_419.mtx,419,1991,5,7,7,8,8,7,8,6,7,7.2,6,6
dwt_193.mtx,193,1843,8,12,11,10,11,12,12,11,11,13.2,11,11
dwt_162.mtx,162,672,4,6,5,4,5,6,5,5,4,6.8,6,4
saylr1.mtx,238,1128,2,2,2,2,2,2,4,2,2,4.2,2,2
GD00_a.mtx,352,458,3,3,3,4,4,4,3,4,4,4.2,3,3
cage_G_17.mtx,58,87,3,3,3,3,4,3,3,4,3,3.4,3,3
lshp_406.mtx,406,1561,4,6,6,5,5,6,5,4,6,6.0,4,5
GD98_c.mtx,112,168,3,4,4,4,4,4,4,4,4,4.0,3,3
str_600.mtx,363,3279,5,5,6,7,6,8,6,6,8,7.8,6,6
cage_G_30.mtx,620,930,3,4,4,4,4,4,4,4,4,4.0,3,3
utm300.mtx,300,3155,8,10,12,11,12,14,13,11,11,13.0,10,9
ck400.mtx,400,2860,6,8,8,8,6,10,8,7,8,8.6,6,6
cage_G_02.mtx,14,21,2,2,2,2,2,2,2,2,2,3.0,2,2
dwt_234.mtx,234,534,3,3,3,3,3,3,4,3,4,3.6,3,3
rw136.mtx,136,479,4,5,5,5,4,5,5,5,4,5.8,4,4
steam1.mtx,240,3762,6,6,6,6,6,6,6,6,6,11.8,6,6
grid1.mtx,252,476,2,2,2,2,2,2,4,2,2,4.0,2,2
rdb450.mtx,450,2580,2,2,2,2,2,2,2,2,2,5.0,2,2
cage_G_13.mtx,58,87,3,4,4,4,4,4,4,4,4,3.8,3,3
Trefethen_150.mtx,150,1095,3,4,6,3,3,8,9,3,3,8.2,3,3
str_0.mtx,363,2454,4,5,5,5,5,6,5,5,6,6.4,4,4
cage_G_18.mtx,58,87,3,4,4,4,3,4,4,3,4,3.6,3,3
mesh2em5.mtx,306,1162,4,5,6,5,6,5,6,5,6,6.0,5,5
cz308.mtx,308,3182,8,10,11,10,10,11,9,10,9,10.8,9,8
bcsstk03.mtx,112,376,4,4,4,4,4,5,4,5,4,5.8,4,4
bcsstk05.mtx,153,1288,9,11,10,10,11,11,9,10,10,10.2,9,9
str_400.mtx,363,3157,4,6,6,6,5,7,5,6,7,7.0,6,5
plat362.mtx,362,3074,7,10,10,10,9,10,11,10,10,13.0,9,8
gre_115.mtx,115,421,2,2,2,2,2,2,2,2,2,4.8,2,2
odepa400.mtx,400,1201,3,3,3,3,3,3,3,3,3,3.0,3,3
polbooks.mtx,105,441,6,6,8,7,7,7,6,7,8,8.2,7,7
